SampleID,Total_Reads_after_fastp,Keep_Reads_Kraken_Standard_DB,Keep_Proportion_Kraken_Standard_DB,Unclassified_Proportion_Kraken_Custom_DB,NTM_Reads,NTM_Proportion
MFS-1,4971728,4928212,0.9912473087827812,0.0037,27982,0.005628224231092288
MFS-10,5382690,5339162,0.9919133370117916,0.0037,27361,0.005083146159262376
MFS-100,4299758,4242961,0.986790651939016,0.0077,31485,0.007322505127032731
MFS-101,4850852,4787123,0.9868623078997256,0.0073,36023,0.007426118133474284
MFS-102,4439610,4376254,0.9857293771299732,0.0091,32037,0.007216174393696743
MFS-103,5343513,5276025,0.987370106519812,0.0081,33667,0.006300536744272916
MFS-104,5166612,5117236,0.9904432537221683,0.0056999999999999,29819,0.005771480420825098
MFS-105,3707865,3673072,0.9906164329068076,0.0053,19521,0.005264754784761581
MFS-106,4517658,4482802,0.9922844978526484,0.0046,20944,0.004636030438780448
MFS-107,4140253,4102569,0.9908981407657936,0.0052,22734,0.005490968788622338
MFS-108,5522063,5454090,0.9876906511207858,0.0087,30825,0.0055821529019136505
MFS-109,4860068,4814329,0.9905888148067064,0.0066,23431,0.004821125959554476
MFS-11,5249506,5195286,0.9896714090811592,0.0056999999999999,28243,0.00538012529178936
MFS-110,4480592,4440866,0.9911337608958816,0.0056999999999999,21708,0.004844895495952321
MFS-111,5448743,5400424,0.9911320831244932,0.005,27511,0.0050490544332885585
MFS-112,6088489,6041405,0.9922667183926916,0.0044,28506,0.004681949823675463
MFS-113,4583308,4543825,0.991385479657924,0.0049,23139,0.005048536995549939
MFS-114,4353057,4303988,0.9887276918266864,0.0077,22550,0.00518026756828592
MFS-115,4429395,4382976,0.989520239220029,0.0067,22573,0.005096181306927921
MFS-116,4276334,4243075,0.9922225438892284,0.0046,21006,0.0049121513894845445
MFS-117,8293423,8150172,0.982727156205586,0.011,68985,0.008318037075885312
MFS-118,5834606,5755612,0.9864611252242224,0.0075,46084,0.007898391082448412
MFS-119,6665027,6588924,0.988581741679366,0.0052,53145,0.007973711134253469
MFS-12,4756363,4714712,0.9912430989813016,0.0044,25961,0.005458162045243393
MFS-120,7659553,7542471,0.9847142516018884,0.0077,67607,0.008826494183146197
MFS-121,4275867,4231203,0.9895543991429108,0.0067,24805,0.005801162664788217
MFS-122,6268386,6130917,0.9780694743431564,0.0159,48592,0.007751915724398593
MFS-123,3967104,3920612,0.988280619817378,0.0075,22878,0.005766927209369858
MFS-124,7091333,6966844,0.982444908453742,0.0098999999999999,62439,0.008804973620615475
MFS-125,7961690,7837490,0.9844002969218848,0.0085,69490,0.008728046432352931
MFS-126,4118154,4075678,0.98968566984139,0.0063,24432,0.0059327553073537315
MFS-127,6702610,6597412,0.9843049200236924,0.0089,54315,0.008103559658103335
MFS-128,8116337,7992698,0.9847666502758572,0.0083,70738,0.008715507993322604
MFS-129,5469641,5405077,0.9881959346143558,0.0048,47060,0.008603855353578051
MFS-13,5014801,4972555,0.991575737501847,0.0034999999999999,26344,0.005253249331329399
MFS-130,7330934,7235042,0.9869195384926396,0.0056,64258,0.008765322399574189
MFS-131,8325050,8203071,0.985347955868133,0.0077,71453,0.008582891394045682
MFS-132,6002551,5909591,0.9845132511160672,0.0068,60479,0.010075549545518231
MFS-133,5898532,5806162,0.9843401714189224,0.0069,59530,0.010092341619914921
MFS-134,5189445,5113611,0.985386876631316,0.0056999999999999,52736,0.010162165703654245
MFS-135,6961843,6871317,0.9869968340280008,0.0039,70635,0.010146020242053721
MFS-136,4451004,4379065,0.9838375791169812,0.0069,46325,0.01040776418084549
MFS-137,4173838,4101894,0.9827631067616904,0.0081,43185,0.01034659227310691
MFS-138,5083364,4683315,0.9213023108319608,0.0709,47581,0.00936014025358011
MFS-139,5525173,5429006,0.9825947531416664,0.0084,55696,0.010080408341965039
MFS-14,5070808,5029798,0.9919125314939946,0.0039,26158,0.00515854672470344
MFS-140,4941918,4865825,0.9846025369097584,0.0072,44210,0.008945919377860984
MFS-141,3709284,3648814,0.983697662406006,0.0085,30578,0.008243639473278401
MFS-142,6543479,6449625,0.9856568654075302,0.0063,64075,0.00979219158493517
MFS-143,7771266,7660509,0.9857478820053258,0.0046999999999999,79932,0.010285582812375745
MFS-144,8034868,7911131,0.9845999959177923,0.0067,81829,0.010184237003022328
MFS-145,7626117,7460624,0.978299178992402,0.0131,75403,0.009887469599535386
MFS-146,6244026,6123731,0.9807343851547062,0.0104,62583,0.01002286025074207
MFS-147,8044750,7937464,0.9866638490941296,0.0043,82097,0.010205040554398831
MFS-148,7846289,7763207,0.989411300042606,0.0052,51623,0.006579288629312533
MFS-149,4989909,4915099,0.985007742626168,0.0095,31984,0.006409736129456469
MFS-15,4976463,4937100,0.992090165243869,0.004,25065,0.005036709807748997
MFS-150,6306966,6226898,0.9873048308806484,0.0065,43886,0.006958337812507631
MFS-151,7223819,7101045,0.983004280699724,0.0116,47316,0.006549997999673026
MFS-152,5948592,5867756,0.9864109019411652,0.0045,60498,0.01017013774015767
MFS-153,4516399,4447021,0.984638646851175,0.0063,44806,0.009920735524031424
MFS-154,4450632,4383078,0.9848214815334092,0.0069,43053,0.009673457612312138
MFS-155,9288492,9153117,0.9854255136355826,0.0053,94907,0.010217697339891125
MFS-156,6151414,6056791,0.9846176830237732,0.0064,62812,0.010210985636798304
MFS-157,3713859,3596537,0.9684096784503666,0.0227,36916,0.009940065037471805
MFS-158,4817209,4591883,0.953224782233862,0.0387,46432,0.009638776312175785
MFS-159,7599688,7460815,0.9817264866662948,0.0093999999999999,77922,0.010253315662432459
