pid,Original_ID,SampleID,Sampling_Week,Coll2014,Freschi2020,Lipworth2019,Shitikov2017,Stucki2016,F2,Lineage,Paired_Sample_Num,total_samples
T0002,S0002-01,MFS-509,1,4.8,4.2.1.1.1.1.1.1.i1,canetti,,4.10/PGG3,0.0055553470215082,4,1,2
T0002,S0002-05,MFS-510,5,4.8,4.2.1.1.1.1.1.1.i1,canetti,,4.10/PGG3,0.0080768660771624,4,2,2
T0003,S0003-01,MFS-511,1,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0061153174140943,2,1,2
T0003,S0003-08,MFS-512,8,2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,0.0062841041238035,2,2,2
T0004,04-01,MFS-1,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.008273864929155,2,1,2
T0004,04-08,MFS-2,8,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0071923966092987,2,2,2
T0005,S0005-01,MFS-332,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0078120399630989,2,1,2
T0005,S0005-08,MFS-333,8,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0074412921216298,2,2,2
T0008,08-01,MFS-4,1,4.1.1.1,4.1.i1.2.1,"xtype,westafrican1",,4,0.006519558676028,4,1,2
T0008,S0008-06,MFS-513,6,4.1.1.1,4.1.i1.2.1,"xtype,westafrican1",,4,0.0061972014742816,4,2,2
T0009,S0009-01,MFS-334,1,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0122218639148661,4,1,2
T0009,S0009-08,MFS-335,8,4.1.2.1,4.1.i1.1.1.1,haarlem,,4.1.2/Haarlem,0.0120369444166583,4,2,2
T0010,S0010-01,MFS-336,1,"4.1.1.1,2.2.1.1","4.1.i1.2.1,2.2.1.1.1","beijing,xtype,westafrican1","lin2.2.1,pacific_RD150",,0.4590220783724424,"2,4",1,2
T0010,S0010-08,MFS-337,8,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.008736797634136,2,2,2
T0011,S0011-01,MFS-514,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0085594568554079,2,1,2
T0011,S0011-07,MFS-515,7,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0064030554931476,2,2,2
T0012,S0012-01,MFS-516,1,4.1.1.3,4.1.i1.2.1,xtype,,4,0.0094244633291715,4,1,2
T0012,S0012-08,MFS-517,8,4.1.1.3,4.1.i1.2.1,xtype,,4,0.0083726334495249,4,2,2
T0018,18-01,MFS-7,1,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0082304526748971,2,1,2
T0018,18-06,MFS-8,6,2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,0.0072462371600917,2,2,2
T0019,S0019-01,MFS-521,1,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0050325015726567,4,1,2
T0019,S0019-08,MFS-522,8,4.3.3,4.2.1.2.1.1.i4.1,lam,,4.3/LAM,0.0039060905069751,4,2,2
T0020,S0020-01,MFS-523,1,3.1.1,3.1.1.i1,"east_african_indian,ghana,mungi",,,0.0113384819715677,3,1,2
T0020,S0020-05,MFS-718,5,3.1.1,3.1.1.i1,"east_african_indian,ghana,mungi",,,0.0100142453171177,3,2,2
T0021,21-01,MFS-9,1,4.3.2.1,4.2.1.2.1.1.i1,lam,,4.3/LAM,0.0084485851513222,4,1,2
