"sample_id","n_phy","likelihood","error_rate","p_val_perm","p_val_wsrst","abs_diff","mix_index","mix_node","mix_phylotype","mix_prop","failed","reason"
"S0004-01.filtered.vcf.gz",3,-3327.91817837444,0.000922222222222222,0,1.53720498990481e-35,25.5451,1,40,"2.2.M4.4",0.599,FALSE,NA
"S0004-01.filtered.vcf.gz",3,-3327.91817837444,0.000922222222222222,0,1.53720498990481e-35,25.5451,2,9,"4.3.2.1",0.0822,FALSE,NA
"S0004-01.filtered.vcf.gz",3,-3327.91817837444,0.000922222222222222,0,1.53720498990481e-35,25.5451,3,65,"2.2.M1.1",0.3188,FALSE,NA
"S0004-m5.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0008-01.filtered.vcf.gz",3,-1878.05464722439,0.0011962962962963,0,4.43223518895022e-31,27.6259,1,40,"2.2.M4.4",0.7965,FALSE,NA
"S0008-01.filtered.vcf.gz",3,-1878.05464722439,0.0011962962962963,0,4.43223518895022e-31,27.6259,2,57,"4.1.1.1",0.1162,FALSE,NA
"S0008-01.filtered.vcf.gz",3,-1878.05464722439,0.0011962962962963,0,4.43223518895022e-31,27.6259,3,9,"4.3.2.1",0.0873,FALSE,NA
"S0018-01.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0019-01.filtered.vcf.gz",3,-2849.90846075199,0.00215555555555556,0,2.27422732424638e-32,27.2896,1,12,"4.3.3",0.647,FALSE,NA
"S0019-01.filtered.vcf.gz",3,-2849.90846075199,0.00215555555555556,0,2.27422732424638e-32,27.2896,2,155,"2.2.M2",0.2074,FALSE,NA
"S0019-01.filtered.vcf.gz",3,-2849.90846075199,0.00215555555555556,0,2.27422732424638e-32,27.2896,3,9,"4.3.2.1",0.1456,FALSE,NA
"S0021-01.filtered.vcf.gz",2,-3641.49451238945,1e-04,0,4.04763644397256e-66,17.2822,1,9,"4.3.2.1",0.9558,FALSE,NA
"S0021-01.filtered.vcf.gz",2,-3641.49451238945,1e-04,0,4.04763644397256e-66,17.2822,2,40,"2.2.M4.4",0.0442,FALSE,NA
"S0021-m5.filtered.vcf.gz",2,-1091.3029256514,0.00055679012345679,0,2.18963459032266e-43,27.5617,1,65,"2.2.M1.1",0.9249,FALSE,NA
"S0021-m5.filtered.vcf.gz",2,-1091.3029256514,0.00055679012345679,0,2.18963459032266e-43,27.5617,2,9,"4.3.2.1",0.0751,FALSE,NA
"S0024-01.filtered.vcf.gz",3,-4914.20683981096,0.00055679012345679,0,2.15872650265748e-61,6.26150000000001,1,156,"4.1.1.3",0.8197,FALSE,NA
"S0024-01.filtered.vcf.gz",3,-4914.20683981096,0.00055679012345679,0,2.15872650265748e-61,6.26150000000001,2,40,"2.2.M4.4",0.1618,FALSE,NA
"S0024-01.filtered.vcf.gz",3,-4914.20683981096,0.00055679012345679,0,2.15872650265748e-61,6.26150000000001,3,9,"4.3.2.1",0.0185,FALSE,NA
"S0028-01.filtered.vcf.gz",3,-3297.63265964763,0.000739506172839506,0,1.46619290249595e-14,6.02099999999999,1,40,"2.2.M4.4",0.6539,FALSE,NA
"S0028-01.filtered.vcf.gz",3,-3297.63265964763,0.000739506172839506,0,1.46619290249595e-14,6.02099999999999,2,9,"4.3.2.1",0.3295,FALSE,NA
"S0028-01.filtered.vcf.gz",3,-3297.63265964763,0.000739506172839506,0,1.46619290249595e-14,6.02099999999999,3,96,"3.1.1.1",0.0166,FALSE,NA
