"sample_id","n_phy","likelihood","error_rate","p_val_perm","p_val_wsrst","abs_diff","mix_index","mix_node","mix_phylotype","mix_prop","failed"
"S0030-01.vcf.gz",3,-2839.7535986227,0.000922222222222222,0,5.90407792774161e-19,11.6619,1,40,"2.2.M4.4",0.855,FALSE
"S0030-01.vcf.gz",3,-2839.7535986227,0.000922222222222222,0,5.90407792774161e-19,11.6619,2,9,"4.3.2.1",0.1147,FALSE
"S0030-01.vcf.gz",3,-2839.7535986227,0.000922222222222222,0,5.90407792774161e-19,11.6619,3,96,"3.1.1.1",0.0303,FALSE
"S0201-01.vcf.gz",3,-2980.78316506138,0.000922222222222222,0,1.64657039987795e-07,7.4649,1,40,"2.2.M4.4",0.8328,FALSE
"S0201-01.vcf.gz",3,-2980.78316506138,0.000922222222222222,0,1.64657039987795e-07,7.4649,2,9,"4.3.2.1",0.148,FALSE
"S0201-01.vcf.gz",3,-2980.78316506138,0.000922222222222222,0,1.64657039987795e-07,7.4649,3,96,"3.1.1.1",0.0192,FALSE
"S0209-01.vcf.gz",3,-7205.25488480824,0.000922222222222222,0,4.36223853746591e-100,6.9712,1,40,"2.2.M4.4",0.8697,FALSE
"S0209-01.vcf.gz",3,-7205.25488480824,0.000922222222222222,0,4.36223853746591e-100,6.9712,2,9,"4.3.2.1",0.1121,FALSE
"S0209-01.vcf.gz",3,-7205.25488480824,0.000922222222222222,0,4.36223853746591e-100,6.9712,3,96,"3.1.1.1",0.0182,FALSE
"S0214-01.vcf.gz",3,-3865.07995870008,0.000922222222222222,0,7.31973903225867e-21,7.2981,1,40,"2.2.M4.4",0.8669,FALSE
"S0214-01.vcf.gz",3,-3865.07995870008,0.000922222222222222,0,7.31973903225867e-21,7.2981,2,9,"4.3.2.1",0.114,FALSE
"S0214-01.vcf.gz",3,-3865.07995870008,0.000922222222222222,0,7.31973903225867e-21,7.2981,3,96,"3.1.1.1",0.0191,FALSE
"S0220-01.vcf.gz",3,-6701.18729217805,0.000922222222222222,0,2.41313626809529e-55,7.7632,1,40,"2.2.M4.4",0.8637,FALSE
"S0220-01.vcf.gz",3,-6701.18729217805,0.000922222222222222,0,2.41313626809529e-55,7.7632,2,9,"4.3.2.1",0.1161,FALSE
"S0220-01.vcf.gz",3,-6701.18729217805,0.000922222222222222,0,2.41313626809529e-55,7.7632,3,96,"3.1.1.1",0.0202,FALSE
"S0223-01.vcf.gz",3,-3366.67824494687,0.000739506172839506,0,3.35773900768398e-18,7.9222,1,40,"2.2.M4.4",0.8676,FALSE
"S0223-01.vcf.gz",3,-3366.67824494687,0.000739506172839506,0,3.35773900768398e-18,7.9222,2,9,"4.3.2.1",0.1116,FALSE
"S0223-01.vcf.gz",3,-3366.67824494687,0.000739506172839506,0,3.35773900768398e-18,7.9222,3,96,"3.1.1.1",0.0208,FALSE
"S0089-01.vcf.gz",3,-8918.86198441342,0.0011962962962963,0,6.58772631968564e-49,22.003,1,40,"2.2.M4.4",0.8389,FALSE
"S0089-01.vcf.gz",3,-8918.86198441342,0.0011962962962963,0,6.58772631968564e-49,22.003,2,9,"4.3.2.1",0.0919,FALSE
"S0089-01.vcf.gz",3,-8918.86198441342,0.0011962962962963,0,6.58772631968564e-49,22.003,3,57,"4.1.1.1",0.0692,FALSE
"S0150-01.vcf.gz",3,-7434.6145804772,0.0011962962962963,0,3.00733550472173e-47,15.0299,1,40,"2.2.M4.4",0.8469,FALSE
"S0150-01.vcf.gz",3,-7434.6145804772,0.0011962962962963,0,3.00733550472173e-47,15.0299,2,9,"4.3.2.1",0.1058,FALSE
"S0150-01.vcf.gz",3,-7434.6145804772,0.0011962962962963,0,3.00733550472173e-47,15.0299,3,57,"4.1.1.1",0.0473,FALSE
"S0157-01.vcf.gz",3,-5791.35343877691,0.0011962962962963,0,6.65079866667854e-46,18.392,1,40,"2.2.M4.4",0.8323,FALSE
"S0157-01.vcf.gz",3,-5791.35343877691,0.0011962962962963,0,6.65079866667854e-46,18.392,2,9,"4.3.2.1",0.1101,FALSE
"S0157-01.vcf.gz",3,-5791.35343877691,0.0011962962962963,0,6.65079866667854e-46,18.392,3,57,"4.1.1.1",0.0576,FALSE
"S0170-01.vcf.gz",3,-10268.538946928,0.00147037037037037,0,5.7839641877184e-46,16.5651,1,40,"2.2.M4.4",0.8436,FALSE
