sample_id,n_phy,likelihood,error_rate,p_val_perm,p_val_wsrst,abs_diff,mix_index,mix_node,mix_phylotype,mix_prop,failed,reason
S0004-01.filtered.vcf.gz,3.0,-3333.62720876742,0.0009222222222222,0.0,1.33575018909068e-35,25.5436,1.0,40.0,2.2.M4.4,0.5991,False,
S0004-01.filtered.vcf.gz,3.0,-3333.62720876742,0.0009222222222222,0.0,1.33575018909068e-35,25.5436,2.0,9.0,4.3.2.1,0.0821,False,
S0004-01.filtered.vcf.gz,3.0,-3333.62720876742,0.0009222222222222,0.0,1.33575018909068e-35,25.5436,3.0,65.0,2.2.M1.1,0.3188,False,
S0004-m5.filtered.vcf.gz,,,,,,,,,,,True,median depth too low
S0008-01.filtered.vcf.gz,3.0,-1884.86314939923,0.0011962962962963,0.0,2.2776822290263902e-31,27.8243,1.0,40.0,2.2.M4.4,0.7967,False,
S0008-01.filtered.vcf.gz,3.0,-1884.86314939923,0.0011962962962963,0.0,2.2776822290263902e-31,27.8243,2.0,57.0,4.1.1.1,0.1159,False,
S0008-01.filtered.vcf.gz,3.0,-1884.86314939923,0.0011962962962963,0.0,2.2776822290263902e-31,27.8243,3.0,9.0,4.3.2.1,0.0874,False,
S0018-01.filtered.vcf.gz,,,,,,,,,,,True,median depth too low
S0019-01.filtered.vcf.gz,3.0,-2857.53015061795,0.0021555555555555,0.0,5.20927320029414e-32,27.2377,1.0,12.0,4.3.3,0.6459,False,
S0019-01.filtered.vcf.gz,3.0,-2857.53015061795,0.0021555555555555,0.0,5.20927320029414e-32,27.2377,2.0,155.0,2.2.M2,0.2087,False,
S0019-01.filtered.vcf.gz,3.0,-2857.53015061795,0.0021555555555555,0.0,5.20927320029414e-32,27.2377,3.0,9.0,4.3.2.1,0.1454,False,
S0021-01.filtered.vcf.gz,2.0,-3793.58298782598,0.0001,0.0,2.77942320366433e-66,17.3656,1.0,9.0,4.3.2.1,0.9557,False,
S0021-01.filtered.vcf.gz,2.0,-3793.58298782598,0.0001,0.0,2.77942320366433e-66,17.3656,2.0,40.0,2.2.M4.4,0.0443,False,
S0021-m5.filtered.vcf.gz,2.0,-1092.57307964907,0.0005567901234567,0.0,1.3647876027526399e-43,27.6,1.0,65.0,2.2.M1.1,0.925,False,
S0021-m5.filtered.vcf.gz,2.0,-1092.57307964907,0.0005567901234567,0.0,1.3647876027526399e-43,27.6,2.0,9.0,4.3.2.1,0.075,False,
S0024-01.filtered.vcf.gz,3.0,-5474.52812109545,0.000617695473251,0.0,4.0888619454364096e-77,5.8524,1.0,156.0,4.1.1.3,0.82,False,
S0024-01.filtered.vcf.gz,3.0,-5474.52812109545,0.000617695473251,0.0,4.0888619454364096e-77,5.8524,2.0,40.0,2.2.M4.4,0.1628,False,
S0024-01.filtered.vcf.gz,3.0,-5474.52812109545,0.000617695473251,0.0,4.0888619454364096e-77,5.8524,3.0,9.0,4.3.2.1,0.0172,False,
S0028-01.filtered.vcf.gz,3.0,-3309.06592904117,0.0007395061728395,0.0,7.082325366860781e-15,6.15169999999999,1.0,40.0,2.2.M4.4,0.6542,False,
S0028-01.filtered.vcf.gz,3.0,-3309.06592904117,0.0007395061728395,0.0,7.082325366860781e-15,6.15169999999999,2.0,9.0,4.3.2.1,0.3289,False,
S0028-01.filtered.vcf.gz,3.0,-3309.06592904117,0.0007395061728395,0.0,7.082325366860781e-15,6.15169999999999,3.0,96.0,3.1.1.1,0.0169,False,
S0029-01.filtered.vcf.gz,,,,,,,,,,,True,median depth too low
S0030-01.filtered.vcf.gz,3.0,-2521.41423597134,0.0009222222222222,0.0,2.88910870232747e-15,10.0205,1.0,40.0,2.2.M4.4,0.8557,False,
S0030-01.filtered.vcf.gz,3.0,-2521.41423597134,0.0009222222222222,0.0,2.88910870232747e-15,10.0205,2.0,9.0,4.3.2.1,0.1147,False,
S0030-01.filtered.vcf.gz,3.0,-2521.41423597134,0.0009222222222222,0.0,2.88910870232747e-15,10.0205,3.0,96.0,3.1.1.1,0.0296,False,
S0031-01.filtered.vcf.gz,3.0,-3471.00678604831,0.0007395061728395,0.0,1.1703628754876998e-12,4.4047,1.0,40.0,2.2.M4.4,0.9218,False,
S0031-01.filtered.vcf.gz,3.0,-3471.00678604831,0.0007395061728395,0.0,1.1703628754876998e-12,4.4047,2.0,9.0,4.3.2.1,0.0663,False,
S0031-01.filtered.vcf.gz,3.0,-3471.00678604831,0.0007395061728395,0.0,1.1703628754876998e-12,4.4047,3.0,96.0,3.1.1.1,0.0119,False,
S0032-01.filtered.vcf.gz,,,,,,,,,,,True,median depth too low
S0039-01.filtered.vcf.gz,2.0,-1463.43388331613,0.0001,0.0,8.020248052393659e-22,5.93210000000001,1.0,96.0,3.1.1.1,0.9863,False,
S0039-01.filtered.vcf.gz,2.0,-1463.43388331613,0.0001,0.0,8.020248052393659e-22,5.93210000000001,2.0,9.0,4.3.2.1,0.0137,False,
S0045-01.filtered.vcf.gz,3.0,-4568.28169062789,0.000617695473251,0.0,4.3945358673411296e-27,3.25310000000001,1.0,9.0,4.3.2.1,0.6546,False,
S0045-01.filtered.vcf.gz,3.0,-4568.28169062789,0.000617695473251,0.0,4.3945358673411296e-27,3.25310000000001,2.0,40.0,2.2.M4.4,0.3351,False,
S0045-01.filtered.vcf.gz,3.0,-4568.28169062789,0.000617695473251,0.0,4.3945358673411296e-27,3.25310000000001,3.0,57.0,4.1.1.1,0.0103,False,
S0047-01.filtered.vcf.gz,3.0,-2030.87710005989,0.0009222222222222,0.0,5.78290537261499e-19,9.93,1.0,40.0,2.2.M4.4,0.6642,False,
S0047-01.filtered.vcf.gz,3.0,-2030.87710005989,0.0009222222222222,0.0,5.78290537261499e-19,9.93,2.0,159.0,4.8,0.2835,False,
S0047-01.filtered.vcf.gz,3.0,-2030.87710005989,0.0009222222222222,0.0,5.78290537261499e-19,9.93,3.0,9.0,4.3.2.1,0.0523,False,
S0049-01.filtered.vcf.gz,3.0,-2404.23614815521,0.0001,0.0,3.5656755205968797e-12,6.2062,1.0,57.0,4.1.1.1,0.8142,False,
S0049-01.filtered.vcf.gz,3.0,-2404.23614815521,0.0001,0.0,3.5656755205968797e-12,6.2062,2.0,40.0,2.2.M4.4,0.1667,False,
S0049-01.filtered.vcf.gz,3.0,-2404.23614815521,0.0001,0.0,3.5656755205968797e-12,6.2062,3.0,9.0,4.3.2.1,0.0191,False,
S0052-01.filtered.vcf.gz,2.0,-5159.85190485623,0.0001,0.0,9.921440249146131e-61,8.4777,1.0,65.0,2.2.M1.1,0.9769,False,
