"sample_id","n_phy","likelihood","error_rate","p_val_perm","p_val_wsrst","abs_diff","mix_index","mix_node","mix_phylotype","mix_prop","failed","reason"
"S0004-01.filtered.vcf.gz",5,-2912.2163082816,0.00055679012345679,0,7.53666939073243e-07,4.15920000000002,1,40,"2.2.M4.4",0.5952,FALSE,NA
"S0004-01.filtered.vcf.gz",5,-2912.2163082816,0.00055679012345679,0,7.53666939073243e-07,4.15920000000002,2,9,"4.3.2.1",0.0696,FALSE,NA
"S0004-01.filtered.vcf.gz",5,-2912.2163082816,0.00055679012345679,0,7.53666939073243e-07,4.15920000000002,3,65,"2.2.M1.1",0.3087,FALSE,NA
"S0004-01.filtered.vcf.gz",5,-2912.2163082816,0.00055679012345679,0,7.53666939073243e-07,4.15920000000002,4,96,"3.1.1.1",0.013,FALSE,NA
"S0004-01.filtered.vcf.gz",5,-2912.2163082816,0.00055679012345679,0,7.53666939073243e-07,4.15920000000002,5,57,"4.1.1.1",0.0135,FALSE,NA
"S0004-m5.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0008-01.filtered.vcf.gz",4,-1857.66086344753,0.000922222222222222,0.003,7.58619136047019e-05,8.55040000000001,1,40,"2.2.M4.4",0.7807,FALSE,NA
"S0008-01.filtered.vcf.gz",4,-1857.66086344753,0.000922222222222222,0.003,7.58619136047019e-05,8.55040000000001,2,57,"4.1.1.1",0.0964,FALSE,NA
"S0008-01.filtered.vcf.gz",4,-1857.66086344753,0.000922222222222222,0.003,7.58619136047019e-05,8.55040000000001,3,9,"4.3.2.1",0.0763,FALSE,NA
"S0008-01.filtered.vcf.gz",4,-1857.66086344753,0.000922222222222222,0.003,7.58619136047019e-05,8.55040000000001,4,159,"4.8",0.0466,FALSE,NA
"S0018-01.filtered.vcf.gz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,"median depth too low"
"S0019-01.filtered.vcf.gz",5,-2213.54008656077,0.0011962962962963,0,0.00244644790025912,5.8406,1,12,"4.3.3",0.5129,FALSE,NA
"S0019-01.filtered.vcf.gz",5,-2213.54008656077,0.0011962962962963,0,0.00244644790025912,5.8406,2,40,"2.2.M4.4",0.1477,FALSE,NA
"S0019-01.filtered.vcf.gz",5,-2213.54008656077,0.0011962962962963,0,0.00244644790025912,5.8406,3,9,"4.3.2.1",0.1279,FALSE,NA
"S0019-01.filtered.vcf.gz",5,-2213.54008656077,0.0011962962962963,0,0.00244644790025912,5.8406,4,128,"4.9",0.1821,FALSE,NA
"S0019-01.filtered.vcf.gz",5,-2213.54008656077,0.0011962962962963,0,0.00244644790025912,5.8406,5,156,"4.1.1.3",0.0294,FALSE,NA
