"sample_id","failed","reason","n_phy","likelihood","error_rate","p_val_perm","p_val_wsrst","abs_diff","mix_index","mix_node","mix_phylotype","mix_prop"
"S0004-m5.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0018-01.filtered.vcf.gz",FALSE,NA,3,-820.120683912964,0.000922222222222222,0,4.11683954418279e-08,24.3771,1,9,"4.3.2.1",0.7062
"S0018-01.filtered.vcf.gz",FALSE,NA,3,-820.120683912964,0.000922222222222222,0,4.11683954418279e-08,24.3771,2,65,"2.2.M1.1",0.1627
"S0018-01.filtered.vcf.gz",FALSE,NA,3,-820.120683912964,0.000922222222222222,0,4.11683954418279e-08,24.3771,3,91,"4.7",0.1311
"S0029-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0032-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0064-01.filtered.vcf.gz",FALSE,NA,1,-674.132812191988,0.00215555555555556,0,-1,Inf,1,40,"2.2.M4.4",1
"S0103-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0115-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0189-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0194-01.filtered.vcf.gz",FALSE,NA,5,-1386.07841283946,0.000922222222222222,0,3.39180777065659e-05,12.3271,1,9,"4.3.2.1",0.3997
"S0194-01.filtered.vcf.gz",FALSE,NA,5,-1386.07841283946,0.000922222222222222,0,3.39180777065659e-05,12.3271,2,40,"2.2.M4.4",0.2903
"S0194-01.filtered.vcf.gz",FALSE,NA,5,-1386.07841283946,0.000922222222222222,0,3.39180777065659e-05,12.3271,3,156,"4.1.1.3",0.088
"S0194-01.filtered.vcf.gz",FALSE,NA,5,-1386.07841283946,0.000922222222222222,0,3.39180777065659e-05,12.3271,4,114,"2.2.M2.2",0.1618
"S0194-01.filtered.vcf.gz",FALSE,NA,5,-1386.07841283946,0.000922222222222222,0,3.39180777065659e-05,12.3271,5,128,"4.9",0.0602
"S0222-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0229-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0247-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0261-01.filtered.vcf.gz",FALSE,NA,5,-976.026298078164,0.0011962962962963,0,0.0023217637984642,11.8678,1,40,"2.2.M4.4",0.546
"S0261-01.filtered.vcf.gz",FALSE,NA,5,-976.026298078164,0.0011962962962963,0,0.0023217637984642,11.8678,2,26,"3.5.1",0.1037
"S0261-01.filtered.vcf.gz",FALSE,NA,5,-976.026298078164,0.0011962962962963,0,0.0023217637984642,11.8678,3,148,"4.1.1",0.062
"S0261-01.filtered.vcf.gz",FALSE,NA,5,-976.026298078164,0.0011962962962963,0,0.0023217637984642,11.8678,4,112,"2.2.M2.5",0.2189
"S0261-01.filtered.vcf.gz",FALSE,NA,5,-976.026298078164,0.0011962962962963,0,0.0023217637984642,11.8678,5,125,"4.3",0.0694
"S0267-01.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0269-04.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S0272-01.filtered.vcf.gz",FALSE,NA,1,-637.135592941952,0.0011962962962963,0,-1,Inf,1,115,"2.2.M1.4",1
"S0274-08.filtered.vcf.gz",TRUE,"median depth too low",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
