Original_ID	PacBio_FQ_PATH	Illumina_ID
S0007-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2001.ccs.fastq.gz	MFS-3
S0256-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2018.ccs.fastq.gz	MFS-172
S0252-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2017.ccs.fastq.gz	MFS-168
S0130-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2014.ccs.fastq.gz	MFS-62
S0107-07	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2011.ccs.fastq.gz	MFS-59
S0256-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2019.ccs.fastq.gz	MFS-173
S0089-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2008.ccs.fastq.gz	MFS-54
S0107-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2010.ccs.fastq.gz	MFS-58
S0085-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2006.ccs.fastq.gz	MFS-51
S0070-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2002.ccs.fastq.gz	MFS-42
S0085-07	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2007.ccs.fastq.gz	MFS-52
S0106-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2009.ccs.fastq.gz	MFS-56
S0123-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2012.ccs.fastq.gz	MFS-60
S0123-07	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2013.ccs.fastq.gz	MFS-61
S0171-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2015.ccs.fastq.gz	MFS-90
S0262-02	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set1/TRUST.bc2020.ccs.fastq.gz	MFS-181
S0141-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2041--bc2041.hifi_reads.fastq.gz	MFS-70
S0131-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2042--bc2042.hifi_reads.fastq.gz	MFS-64
S0276-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2043--bc2043.hifi_reads.fastq.gz	MFS-321
S0064-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2044--bc2044.hifi_reads.fastq.gz	MFS-37
S0041-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2045--bc2045.hifi_reads.fastq.gz	MFS-22
S0249-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2046--bc2046.hifi_reads.fastq.gz	MFS-162
S0284-07	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2047--bc2047.hifi_reads.fastq.gz	MFS-326
S0284-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2048--bc2048.hifi_reads.fastq.gz	MFS-325
S0211-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2049--bc2049.hifi_reads.fastq.gz	MFS-121
S0018-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2050--bc2050.hifi_reads.fastq.gz	MFS-7
S0321-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2051--bc2051.hifi_reads.fastq.gz	MFS-330
S0212-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2052--bc2052.hifi_reads.fastq.gz	MFS-122
S0276-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2053--bc2053.hifi_reads.fastq.gz	MFS-322
S0142-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2056--bc2056.hifi_reads.fastq.gz	MFS-71
S0186-06	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2057--bc2057.hifi_reads.fastq.gz	MFS-105
S0077-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2058--bc2058.hifi_reads.fastq.gz	MFS-43
S0223-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2059--bc2059.hifi_reads.fastq.gz	MFS-132
S0311-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2060--bc2060.hifi_reads.fastq.gz	MFS-318
S0248-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2061--bc2061.hifi_reads.fastq.gz	MFS-161
S0285-08	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2062--bc2062.hifi_reads.fastq.gz	MFS-328
S0283-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2063--bc2063.hifi_reads.fastq.gz	MFS-324
S0082-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2064--bc2064.hifi_reads.fastq.gz	MFS-47
S0184-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2065--bc2065.hifi_reads.fastq.gz	MFS-102
S0165-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2066--bc2066.hifi_reads.fastq.gz	MFS-83
S0189-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2067--bc2067.hifi_reads.fastq.gz	MFS-107
S0225-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2068--bc2068.hifi_reads.fastq.gz	MFS-135
S0180-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2069--bc2069.hifi_reads.fastq.gz	MFS-97
S0186-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set2_221127/demultiplex.bc2070--bc2070.hifi_reads.fastq.gz	MFS-104
S0209-01	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2001--bc2001.hifi_reads.fastq.gz	MFS-119
S0209-06	/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2002--bc2002.hifi_reads.fastq.gz	MFS-120
