SampleID	subI
MFS-872	0
MFS-871	0
MFS-738	0
MFS-885	0
MFS-672	0
MFS-886	0
MFS-887	0
MFS-676	0
MFS-881	0
MFS-383	0
MFS-279	0
MFS-880	0
MFS-182	0
MFS-791	0
MFS-882	0
MFS-303	0
MFS-662	0
MFS-466	0
MFS-890	0
MFS-811	0
MFS-893	0
MFS-837	0
MFS-838	0
MFS-563	0
MFS-86	0
MFS-87	0
MFS-316	0
MFS-315	0
MFS-891	0
MFS-709	0
MFS-178	0
MFS-719	0
MFS-720	0
MFS-723	0
MFS-724	0
MFS-732	0
MFS-733	0
MFS-734	0
MFS-735	0
MFS-739	0
MFS-740	0
MFS-753	0
MFS-756	0
MFS-757	0
MFS-278	0
MFS-758	0
MFS-759	0
MFS-761	0
MFS-324	0
MFS-762	0
MFS-302	0
MFS-763	0
MFS-284	0
MFS-765	0
MFS-766	1
MFS-768	0
MFS-426	0
MFS-770	0
MFS-771	0
MFS-450	0
MFS-772	0
MFS-452	0
MFS-469	0
MFS-777	0
MFS-478	0
MFS-778	0
MFS-479	0
MFS-780	0
MFS-671	0
MFS-673	0
MFS-789	0
MFS-682	0
MFS-801	0
MFS-805	0
MFS-694	0
MFS-806	0
MFS-807	0
MFS-809	0
MFS-696	0
MFS-812	0
MFS-817	0
MFS-700	0
MFS-820	0
MFS-703	0
MFS-821	0
MFS-704	0
MFS-822	0
MFS-705	0
MFS-824	0
MFS-825	0
MFS-826	0
MFS-708	0
MFS-830	0
MFS-713	0
MFS-832	0
MFS-715	0
MFS-835	0
MFS-836	0
MFS-842	0
MFS-843	0
MFS-846	0
MFS-847	0
MFS-856	0
MFS-857	0
MFS-858	0
MFS-859	0
MFS-860	0
MFS-861	0
MFS-864	0
MFS-865	0
MFS-866	0
MFS-867	0
MFS-868	0
MFS-869	0
MFS-511	0
MFS-512	0
MFS-514	0
MFS-515	0
MFS-528	0
MFS-529	0
MFS-531	0
MFS-532	0
MFS-533	0
MFS-534	0
MFS-537	0
MFS-538	0
MFS-539	0
MFS-540	0
MFS-548	0
MFS-549	0
MFS-550	0
MFS-551	0
MFS-552	0
MFS-555	0
MFS-556	0
MFS-558	0
MFS-561	0
MFS-575	0
MFS-576	0
MFS-577	0
MFS-578	0
MFS-583	0
MFS-592	0
MFS-593	0
MFS-599	0
MFS-369	0
MFS-601	0
MFS-606	0
MFS-607	0
MFS-610	0
MFS-611	0
MFS-612	0
MFS-613	0
MFS-616	0
MFS-199	0
MFS-623	0
MFS-624	0
MFS-625	0
MFS-626	0
MFS-629	0
MFS-114	0
MFS-630	0
MFS-632	0
MFS-636	0
MFS-638	0
MFS-639	0
MFS-640	0
MFS-121	0
MFS-641	0
MFS-642	0
MFS-644	0
MFS-645	0
MFS-646	0
MFS-647	0
MFS-654	0
MFS-323	0
MFS-658	0
MFS-663	0
MFS-476	0
MFS-667	0
MFS-480	0
MFS-669	0
MFS-484	0
MFS-706	0
MFS-358	0
MFS-357	0
MFS-333	0
MFS-332	0
MFS-343	0
MFS-342	0
MFS-337	0
MFS-348	0
MFS-349	0
MFS-356	0
MFS-355	0
MFS-347	0
MFS-346	0
MFS-345	0
MFS-344	0
MFS-459	0
MFS-458	0
MFS-338	0
MFS-339	0
MFS-415	0
MFS-414	0
MFS-419	0
MFS-418	0
MFS-371	0
MFS-370	0
MFS-359	0
MFS-361	0
MFS-360	0
MFS-407	0
MFS-406	0
MFS-408	0
MFS-409	0
MFS-465	0
MFS-464	0
MFS-486	0
MFS-485	0
MFS-474	0
MFS-475	0
MFS-341	0
MFS-340	0
MFS-405	0
MFS-404	0
MFS-420	0
MFS-421	0
MFS-448	0
MFS-449	0
MFS-435	0
MFS-436	0
MFS-403	0
MFS-402	0
MFS-445	0
MFS-444	0
MFS-467	0
MFS-468	0
MFS-454	0
MFS-455	0
MFS-456	0
MFS-389	0
MFS-388	0
MFS-399	0
MFS-400	0
MFS-434	0
MFS-363	0
MFS-362	0
MFS-446	0
MFS-447	0
MFS-443	0
MFS-375	0
MFS-374	0
MFS-398	0
MFS-397	0
MFS-441	0
MFS-442	0
MFS-471	0
MFS-472	0
MFS-368	0
MFS-462	0
MFS-463	0
MFS-377	0
MFS-113	0
MFS-188	0
MFS-187	0
MFS-157	0
MFS-156	0
MFS-165	0
MFS-164	0
MFS-89	0
MFS-88	0
MFS-275	0
MFS-123	0
MFS-124	0
MFS-67	0
MFS-66	0
MFS-34	0
MFS-33	0
MFS-70	0
MFS-32	0
MFS-41	0
MFS-42	0
MFS-63	1
MFS-62	0
MFS-39	0
MFS-40	0
MFS-52	0
MFS-51	0
MFS-65	0
MFS-64	0
MFS-116	0
MFS-115	0
MFS-54	0
MFS-30	0
MFS-31	0
MFS-80	0
MFS-50	0
MFS-49	0
MFS-110	0
MFS-277	0
MFS-37	0
MFS-38	0
MFS-55	0
MFS-59	0
MFS-58	0
MFS-158	0
MFS-159	0
MFS-166	0
MFS-167	0
MFS-138	0
MFS-139	0
MFS-46	0
MFS-45	0
MFS-109	0
MFS-108	0
MFS-22	0
MFS-1	0
MFS-2	0
MFS-134	0
MFS-133	0
MFS-162	0
MFS-163	0
MFS-3	0
MFS-16	0
MFS-17	0
MFS-71	0
MFS-93	0
MFS-94	0
MFS-172	1
MFS-173	1
MFS-97	0
MFS-7	0
MFS-8	0
MFS-184	0
MFS-129	0
MFS-130	0
MFS-170	0
MFS-169	0
MFS-84	0
MFS-77	0
MFS-76	0
MFS-75	0
MFS-74	0
MFS-132	1
MFS-18	0
MFS-19	0
MFS-122	0
MFS-142	0
MFS-143	0
MFS-119	0
MFS-120	0
MFS-144	0
MFS-161	0
MFS-321	0
MFS-322	0
MFS-319	0
MFS-318	0
MFS-325	1
MFS-326	1
MFS-283	0
MFS-282	0
MFS-292	0
MFS-330	0
MFS-320	0
MFS-306	1
MFS-305	0
MFS-294	0
MFS-295	0
MFS-287	0
MFS-288	0
MFS-291	0
MFS-276	0
MFS-268	0
MFS-270	0
MFS-274	0
MFS-312	0
MFS-259	0
MFS-263	0
MFS-264	0
MFS-266	0
