SampleID,NC_2516,Rv1733c,Rv1830,Rv2690c,Rv3220c,Rv3861,ceoB,devR,devS,katG,mtrA,phoR,subI,sugI,virS,whiB6
MFS-115,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFS-117,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MFS-119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFS-122,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
MFS-123,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFS-125,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
MFS-127,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MFS-129,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFS-131,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MFS-132,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
MFS-137,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
MFS-138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MFS-140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MFS-144,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
MFS-148,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
MFS-150,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MFS-152,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MFS-156,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFS-160,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
MFS-162,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
MFS-164,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFS-169,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFS-172,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MFS-18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-190,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MFS-260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MFS-269,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MFS-274,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MFS-278,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MFS-281,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MFS-282,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MFS-296,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MFS-325,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
MFS-348,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MFS-388,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
MFS-391,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-393,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
MFS-395,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFS-397,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MFS-401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MFS-402,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MFS-408,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFS-410,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MFS-414,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MFS-416,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
MFS-420,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFS-429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MFS-435,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MFS-437,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MFS-444,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFS-467,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFS-470,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
MFS-471,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFS-473,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MFS-474,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFS-542,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-648,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MFS-655,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-662,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFS-671,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFS-674,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
MFS-68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MFS-721,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
MFS-727,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
MFS-758,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
MFS-766,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MFS-777,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFS-815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
MFS-839,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MFS-858,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
MFS-876,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
MFS-890,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MFS-548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MFS-342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
