covariate,coef,exp(coef),se(coef),coef_transformed,se_transformed,imp_num,pval,OR,OR_lower,OR_upper,Indel
underweight,0.2929978252194654,1.340439875265963,0.1956310439591172,0.5877563488410292,0.3924376845843246,1,0.1342096032630679,1.7999454319171873,0.8340954963843243,3.8842117862086534,mmpL1
screen_years,0.014350547186157456,1.0144540106149387,0.1871987275509126,0.0011244864249536958,0.014668599403837185,1,0.9388944820935259,1.0011251188968602,0.9727526526999304,1.0303251303447452,mmpL1
smoked_substance_use,0.162702249561157,1.1766862786676844,0.1993507627534343,0.3323514650176299,0.40721328827467695,1,0.41440825523389346,1.3942427899755898,0.6276504259805857,3.0971268032869053,mmpL1
F2,0.07279113693731921,1.0755058800022261,0.14170672611353716,0.1324051055925416,0.25776069482735103,1,0.6074795572381023,1.1415706822756628,0.6888053402661135,1.8919476177810262,mmpL1
TTP_baseline,-0.02328303348545516,0.9769859249058466,0.2194453230011316,-0.06515524514364983,0.6140958318295625,1,0.9155034279601798,0.9369219994960146,0.281179799446923,3.121927090304053,mmpL1
smear_pos_no_contam_sputum_specimen_1,-0.11820048733095595,0.8885178981744484,0.21290328306561093,-0.26913409856690196,0.48476562545263535,1,0.5787688405180272,0.7640407920029763,0.2954495260375262,1.9758309978483082,mmpL1
bl_prevtb,0.22301413051534252,1.2498382344695538,0.17237987035578534,0.4616375212112519,0.35682499523180267,1,0.19575645237414174,1.586670064732811,0.7884182008000064,3.19313010755548,mmpL1
Lineage_2,0.039565246282974295,1.0403583761875705,0.17914793857246836,0.07902575328434958,0.3578216269342386,1,0.8252073871671689,1.0822321927448244,0.5367130158858529,2.1822211952138777,mmpL1
screen_sex,-0.026731319046988763,0.9736228002866891,0.18616546070998025,-0.05473465708671367,0.3811896687716459,1,0.8858249989072318,0.9467363244024958,0.4484972723772334,1.9984729521147606,mmpL1
peth_value_baseline,-0.22497744492840013,0.7985342295529814,0.277048701014169,-0.0006405972531155318,0.0007888641321594948,1,0.4167628438610057,0.9993596078854988,0.9978156466388023,1.0009059581670228,mmpL1
HIV_High_CD4,-0.036574694745652954,0.9640860790423303,0.18981425795719517,-0.09729334881538694,0.5049301146049395,1,0.8472042915698458,0.907289814699356,0.33724750292374706,2.4408625733941,mmpL1
high_lung_involvement,-0.027367525167566617,0.9730035725011527,0.19459784478220407,-0.054731961536827245,0.3891737265447477,1,0.8881572525544261,0.9467388763809269,0.4415347958290859,2.0299974283294655,mmpL1
HIV_Low_CD4,0.3059938929150708,1.3579740132599378,0.1363561767569881,1.0271574864229531,0.45771916047626987,1,0.024827384846213208,2.7931150724619833,1.1388789676238147,6.850150042099323,mmpL1
fstrom1_baseline,0.00174065083753657,1.0017421666495778,0.17808529244527604,0.0037318061516899005,0.38179959790977536,1,0.9922013980141403,1.0037387780101106,0.4749329441785578,2.121334278513324,mmpL1
diabetes,0.23334160379934962,1.2628127873008552,0.14495961551952283,1.0928820658172798,0.6789349241178751,1,0.10746319818262229,2.982858490685773,0.7883556698323715,11.286079514526833,mmpL1
Indel_Sample1,0.034500881752334775,1.0351029410801469,0.19207173398450064,0.136890737572298,0.7620918653810693,1,0.8574469909019045,1.1467028501380612,0.2574880747797924,5.106750779193554,mmpL1
