#node	date	numeric date
/1	1914-09-16	1914.707733
/1	2013-11-25	2013.900646
MFS-564	2018-07-27	2018.568493
/1	2018-07-26	2018.564626
MFS-573	2018-10-17	2018.793151
MFS-174	2021-03-05	2021.173973
/1	2016-09-06	2016.682862
MFS-604	2019-03-20	2019.215068
/1	2018-02-05	2018.097260
MFS-633	2019-11-13	2019.867123
MFS-28	2018-02-05	2018.097260
/1	2015-01-15	2015.040393
/1	2017-11-13	2017.868383
MFS-381	2020-02-19	2020.135246
/0.999	2018-01-26	2018.070341
MFS-83	2019-06-14	2019.450685
MFS-137	2020-02-19	2020.135246
/1	2015-01-15	2015.040393
MFS-627	2019-10-07	2019.765753
/0.798	2015-07-25	2015.563089
MFS-717	2023-08-02	2023.584932
MFS-107	2019-09-16	2019.708219
/1	2016-01-14	2016.037346
MFS-4	2017-07-10	2017.521918
MFS-524	2017-10-02	2017.752055
/1	2018-07-30	2018.577299
MFS-487	2022-12-14	2022.952055
/0.336	2018-10-07	2018.765921
MFS-171	2021-02-24	2021.149315
/0.999	2019-06-06	2019.428622
MFS-688	2023-05-12	2023.360274
MFS-103	2019-09-09	2019.689041
/0.991	2019-01-23	2019.062147
/0.334	2019-09-23	2019.727397
MFS-767	2022-06-29	2022.491781
MFS-754	2019-09-23	2019.727397
/0.998	2019-04-18	2019.293367
MFS-194	2019-09-26	2019.735616
MFS-617	2019-06-26	2019.483562
MFS-668	2022-12-02	2022.919178
NODE_0000017	2020-10-10	2020.773624
MFS-839	2023-12-11	2023.943836
NODE_0000018	2020-10-10	2020.773624
NODE_0000019	2020-10-10	2020.773624
MFS-884	2022-11-28	2022.908219
MFS-329	2021-08-30	2021.661644
/1	2021-04-06	2021.260667
MFS-773	2022-10-26	2022.817808
MFS-460	2022-09-28	2022.741096
MFS-385	2021-05-26	2021.398630
