covariate,coef_pooled,V_w,V_b,V_t,se_pooled,riv,wald_stat,dof_old,lambda,dof_observed,dof_adj,pval,t_critical,coef_lower,coef_upper,OR,OR_lower,OR_upper,Indel
F2,0.4307662842770506,0.0517025402498119,5.832894028724219e-07,0.05170314298219487,0.22738325132294784,1.1657693801038377e-05,1.8944503685772438,213394310206.3495,1.16575579007979e-05,376.0113646061418,376.0113639435911,0.05816525621054894,1.9599639845511707,-0.014896699006074487,0.8764292675601757,1.5384359512660066,0.9852137079018444,2.4023063799915607,mammalian_cell_entry
HIV_High_CD4,0.3636418310517462,0.20266971792572142,0.0033333668095531423,0.20611419696225966,0.45399801427127373,0.016995528842649554,0.8009766995026155,103840.48772467165,0.016711507927660824,369.7319578773424,368.42016982918125,0.4231469677236679,1.9599868301416454,-0.5261882978304091,1.2534719599339015,1.4385588747550975,0.590852837898777,3.502482349913302,mammalian_cell_entry
HIV_Low_CD4,1.1978905230542465,0.2197894805846898,0.002597849254565721,0.22247392481440773,0.471671416151549,0.012213706600410002,2.539671648598188,199180.79409346418,0.012066331962081981,371.47861719277745,370.7870872935838,0.011096411703332374,1.9599758947516366,0.2734259171538427,2.1223551289546503,3.3131205945217745,1.3144599766686835,8.350781513837655,mammalian_cell_entry
Indel_Sample1,0.9213875046285245,0.4416474834073201,6.765251204588214e-06,0.4416544741668981,0.6645708947636046,1.5828822399576748e-05,1.3864397491501226,115748276726.17036,1.5828571851924065e-05,376.0097962392109,376.00979501773816,0.16561266603086272,1.959963984560549,-0.38114751429531935,2.2239225235523685,2.5127744584883156,0.6830771185477043,9.243517763639295,mammalian_cell_entry
Lineage_1,4.508421727436394,1.298711600781195,2.6047386394492333e-05,1.2987385164138026,1.139622093684482,2.0724872705727674e-05,3.9560673247921465,67519972324.86898,2.072444319428057e-05,376.00795531448586,376.0079532205575,7.619369635465326e-05,1.9599639845751882,2.274803467788638,6.74203998708415,90.77843227998198,9.726007350982087,847.2874294485456,mammalian_cell_entry
Lineage_3,-1.5650213847664283,1.4120793429574652,9.075489770803632e-05,1.4121731230184302,1.1883489062638255,6.641274191332442e-05,-1.316971283868862,6575864559.289447,6.640833155394004e-05,375.9907774530313,375.99075595486096,0.18784825036160024,1.9599639849008081,-3.894142442539793,0.7640996730069363,0.20908354192276676,0.020360827544131606,2.1470604477257194,mammalian_cell_entry
Lineage_4,-0.5501310369796537,0.13038950508011551,1.4248199954261463e-05,0.13040422822006825,0.3611152561441683,0.00011291660278709146,-1.5234223080290592,2274995089.2292957,0.00011290385406744857,375.9732944043532,375.9732322697599,0.12765308453305532,1.9599639855828126,-1.2579039336667361,0.1576418597074286,0.5768742135730195,0.28424920770674594,1.1707468280045865,mammalian_cell_entry
diabetes,0.8364364950106502,0.32223224193857564,6.138043787176179e-06,0.3222385845838224,0.5676606244789419,1.9683459385041188e-05,1.4734798556415971,74853521682.62479,1.9683071954093804e-05,376.00834688647166,376.0083449976858,0.14062169171760858,1.959963984571746,-0.2761578844275825,1.949030874448883,2.30812728131947,0.7586931354731801,7.021879199485041,mammalian_cell_entry
total_adherence,-1.0012948996750215,0.2495499071031442,1.623582297892758e-05,0.24956668412022243,0.4995664961946732,6.722910568462314e-05,-2.004327566604532,6417143073.481176,6.722458623581047e-05,375.9904705284165,375.9904484985468,0.04503498282603274,1.959963984909731,-1.9804272402841252,-0.02216255906591791,0.3674033824932561,0.13801026117010384,0.9780812261568758,mammalian_cell_entry
F2,0.42706669876216036,0.05081383265287086,6.253947854532909e-07,0.05081447889414916,0.22542067095576918,1.2717821989859742e-05,1.8945321072438697,179301350450.099,1.2717660248920566e-05,376.01096599096434,376.0109652024358,0.05815441681465891,1.9599639845532844,-0.014749697684983798,0.8688830952093045,1.5327548911686284,0.9853585462639171,2.3842463896102553,esx
HIV_High_CD4,0.3115444231212862,0.20218486569523056,0.0033792835150431794,0.20567679199410852,0.4535160327861723,0.017270957877438823,0.6869534935894447,100609.3724096591,0.0169777361121909,369.63185188738925,368.2788210575761,0.4921136188824078,1.959987563847108,-0.5773413611448888,1.2004302073874613,1.3655324462899652,0.5613889146542208,3.3215455688489657,esx
HIV_Low_CD4,1.1761826005216822,0.21845174260730107,0.0025375166707892255,0.2210738431671166,0.47018490316801603,0.012003111206712332,2.501532041111462,206145.58294269984,0.011860745361147975,371.5559209923129,370.8874350584865,0.012366494158989095,1.9599754923535526,0.2546317134377425,2.097733487605622,3.241974638608176,1.2899864487039465,8.14768214653607,esx
Indel_Sample1,-0.5917065130602217,0.6249826664181527,9.23691137360432e-05,0.6250781145023465,0.7906188174476665,0.00015272117023810473,-0.748409347212873,1243747306.593123,0.00015269785004375322,375.95833123518906,375.9582175910241,0.45421328635784053,1.9599639864474117,-2.1412909222652887,0.9578778961448451,0.5533821246768351,0.11750305775787062,2.6061600587695013,esx
