Coll2014,Freschi2020,Lipworth2019,Shitikov2017,Stucki2016,ROLLINGDB_ID,Lineage,F2
2.2.1,2.2.1.1.1,beijing,lin2.2.1,,SAMD00017693,2,0.0066807313642756
2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,SAMD00017694,2,0.0057836031096255
2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,SAMD00017695,2,0.0045476536042573
2.2.1,2.2.1.1.1,beijing,lin2.2.1,,SAMD00017696,2,0.0071602996564711
2.2.1,2.2.1.1.1,beijing,lin2.2.1,,SAMD00017697,2,0.0078162196476749
2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,SAMD00017698,2,0.0096218897992933
2.2.1,2.2.1.1.1,"beijing,canetti,mungi",lin2.2.1,,SAMD00017699,2,0.0064284901581522
2.2.1,2.2.1.1.1,"beijing,mungi",lin2.2.1,,SAMD00017700,2,0.0086266991983269
2.2.1,2.2.1.1.1,beijing,lin2.2.1,,SAMD00017701,2,0.0062250884499977
2.2.1,2.2.1.1.1,beijing,lin2.2.1,,SAMD00017702,2,0.0064861713369529
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00029385,2,0.0147058823529411
2.2.1,2.2.1.1.2,beijing,"lin2.2.1,asia_ancestral_2",,SAMD00029388,2,0.0140202895246779
4.9,4.2.1.1.1.1.1.1.i2,"suricattae,canetti",,4.10/PGG3,SAMD00029389,4,0.0104994324631101
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00029392,2,0.0199131064446053
2.2.1,2.2.1.1.1,beijing,"lin2.2.1,asia_ancestral_3",,SAMD00029394,2,0.0164996333414813
2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,SAMD00029395,2,0.01792656587473
2.2.1,2.2.1.1.1,"beijing,canetti",lin2.2.1,,SAMD00029396,2,0.017293997965412
1.2.1,1.2.1.1.2,"indo_oceanic,mungi",,,SAMD00029399,1,0.0191491564020287
4.9,4.2.1.1.1.1.1.1.i2,,,4.10/PGG3,SAMD00029400,4,0.0131223465843303
4.9,4.2.1.1.1.1.1.1.i2,,,4.10/PGG3,SAMD00029401,4,0.0159311997744254
2.2.1,2.2.1.1.1,beijing,"lin2.2.1,asia_ancestral_3",,SAMD00029403,2,0.0202020202020202
2.2.1,2.2.1.1.2,"beijing,ethiopian,mungi","lin2.2.1,asia_ancestral_2",,SAMD00029404,2,0.0174703004891684
2.2.1,2.2.1.1.2,beijing,"lin2.2.1,asia_ancestral_2",,SAMD00029405,2,0.0188888888888888
2.2.1.1,2.2.1.1.1,"beijing,mungi","lin2.2.1,pacific_RD150",,SAMD00029406,2,0.0198019801980198
2.2.1,2.2.1,"beijing,westafrican1,mungi",lin2.2.1,,SAMD00029407,2,0.0141110837640495
2.2.1,2.2.1,beijing,lin2.2.1,,SAMD00029408,2,0.0152857775808595
1.2.1,1.2.1.1.1,"indo_oceanic,mungi",,,SAMD00029410,1,0.0144163695551077
2.2.1,2.2.1,beijing,lin2.2.1,,SAMD00029411,2,0.018192663286609
2.2.1,2.2.1,"beijing,ethiopian",lin2.2.1,,SAMD00029412,2,0.0180856983861992
2.2.1,2.2.1.1.1,"beijing,ethiopian,orygis,canetti","lin2.2.1,asian_african_3",,SAMD00029421,2,0.0171979865771812
2.2.1,2.2.1.1.2,"beijing,mungi","lin2.2.1,asia_ancestral_2",,SAMD00029427,2,0.0176499629721056
1.2.1,1.2.1.1.1,"indo_oceanic,mungi",,,SAMD00029433,1,0.0225389203005189
