,Sample_ID,R1,R2,Original_ID,Output_ID
0,S0004-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0004_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0004_01_R2.fastq.gz,S0004-01,S0004-01
1,S0004-m5_K064771,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064771_S62_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064771_S62_R2_001.fastq.gz,S0004-m5,S0004-m5
2,S0008-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0008_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0008_01_R2.fastq.gz,S0008-01,S0008-01
3,S0018-01_K064733,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064733_S24_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064733_S24_R2_001.fastq.gz,S0018-01,S0018-01
4,S0019-01_K064758,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064758_S49_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064758_S49_R2_001.fastq.gz,S0019-01,S0019-01
5,S0021-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0021_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0021_01_R2.fastq.gz,S0021-01,S0021-01
6,S0021-m5_K064772,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064772_S63_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064772_S63_R2_001.fastq.gz,S0021-m5,S0021-m5
7,S0024-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0024_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0024_01_R2.fastq.gz,S0024-01,S0024-01
8,S0028-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0028_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0028_01_R2.fastq.gz,S0028-01,S0028-01
9,S0029-01_K064714,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064714_S5_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064714_S5_R2_001.fastq.gz,S0029-01,S0029-01
10,S0030-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0030_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0030_01_R2.fastq.gz,S0030-01,S0030-01
11,S0031-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0031_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0031_01_R2.fastq.gz,S0031-01,S0031-01
12,S0032-01_K064759,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064759_S50_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064759_S50_R2_001.fastq.gz,S0032-01,S0032-01
13,S0039-01_K064728,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064728_S19_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064728_S19_R2_001.fastq.gz,S0039-01,S0039-01
14,S0045-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0045_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0045_01_R2.fastq.gz,S0045-01,S0045-01
15,S0047-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0047_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0047_01_R2.fastq.gz,S0047-01,S0047-01
16,S0049-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0049_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0049_01_R2.fastq.gz,S0049-01,S0049-01
17,S0052-01_K064741,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064741_S32_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064741_S32_R2_001.fastq.gz,S0052-01,S0052-01
18,S0055-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0055_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0055_01_R2.fastq.gz,S0055-01,S0055-01
19,S0064-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0064_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0064_01_R2.fastq.gz,S0064-01,S0064-01
20,S0066-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0066_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0066_01_R2.fastq.gz,S0066-01,S0066-01
21,S0069-01_K064744,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064744_S35_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064744_S35_R2_001.fastq.gz,S0069-01,S0069-01
22,S0070-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0070_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0070_01_R2.fastq.gz,S0070-01,S0070-01
23,S0077-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0077_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0077_01_R2.fastq.gz,S0077-01,S0077-01
24,S0078-01_K064747,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064747_S38_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064747_S38_R2_001.fastq.gz,S0078-01,S0078-01
25,S0079-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0079_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0079_01_R2.fastq.gz,S0079-01,S0079-01
26,S0082-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0082_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0082_01_R2.fastq.gz,S0082-01,S0082-01
27,S0083-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0083_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0083_01_R2.fastq.gz,S0083-01,S0083-01
28,S0085-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0085_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0085_01_R2.fastq.gz,S0085-01,S0085-01
29,S0089-01,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0089_01_R1.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/20220509_TwistV1/S0089_01_R2.fastq.gz,S0089-01,S0089-01
30,S0096-01_K064748,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064748_S39_R1_001.fastq.gz,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_Directsputum/TwistV2_Run2_231224/K064748_S39_R2_001.fastq.gz,S0096-01,S0096-01
