SampleID,ASM,PacBio_FQ_PATH,ASM_SampleID,pid,Original_ID,numContigs,circContigLength,Flye_Cov,Flye_Coll2014,Flye_PP_Coll2014,NumPilonChanges,PacBio_ID,Illumina_ID,Illumina_F2,Illumina_Coll2014,Lineage
MFS-877,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0192-02/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0192-02.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2019--bc2019.hifi_reads.fastq.gz,MFS-194,T0192,S0192-02,1,4405073.0,78,4.1.1.1,4.1.1.1,0,MFS-194,MFS-194,0.0100891768474908,4.1.1.1,4
MFS-878,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0206-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0206-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set5_240528/m64142_240409_061126.bc2007--bc2007.hifi_reads.fastq.gz,MFS-635,T0206,S0206-01,1,4402211.0,42,4.1.1.3,4.1.1.3,0,MFS-635,MFS-635,0.0105598169631726,4.1.1.3,4
MFS-602,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0147-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0147-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2031--bc2031.hifi_reads.fastq.gz,MFS-602,T0147,S0147-01,1,4420897.0,31,4.1.2.1,4.1.2.1,0,MFS-602,MFS-602,0.0162050122479743,4.1.2.1,4
MFS-316,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0310-07/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0310-07.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set3_230124/m64142_221216_110244.bc2014--bc2014.hifi_reads.fastq.gz,MFS-316,T0310,S0310-07,1,4415287.0,218,2.2.1.1,2.2.1.1,0,MFS-316,MFS-316,0.0118993309002433,2.2.1.1,2
MFS-315,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0310-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0310-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set4_230124/m64142_221219_140554.bc2029--bc2029.hifi_reads.fastq.gz,MFS-315,T0310,S0310-01,1,4415286.0,132,2.2.1.1,2.2.1.1,0,MFS-315,MFS-315,0.012943998172612,2.2.1.1,2
MFS-737,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0096-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0096-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2002--bc2002.hifi_reads.fastq.gz,MFS-737,T0096,S0096-01,1,4437602.0,27,3.1.1,3.1.1,1,MFS-737,MFS-737,0.0110660815152342,3.1.1,3
MFS-741,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0113-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0113-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2003--bc2003.hifi_reads.fastq.gz,MFS-741,T0113,S0113-01,1,4416294.0,23,4.1.2.1,4.1.2.1,1,MFS-741,MFS-741,0.0144793778557811,4.1.2.1,4
MFS-753,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0177-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0177-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2004--bc2004.hifi_reads.fastq.gz,MFS-753,T0177,S0177-01,1,4415277.0,42,2.2.1.1,2.2.1.1,1,MFS-753,MFS-753,0.0125655357684475,2.2.1.1,2
MFS-754,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0191-01/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0191-01.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2005--bc2005.hifi_reads.fastq.gz,MFS-754,T0191,S0191-01,1,4405078.0,38,4.1.1.1,4.1.1.1,7,MFS-754,MFS-754,0.0089585208214022,4.1.1.1,4
MFS-756,/n/data1/hms/dbmi/farhat/rollingDB/TRUST/PacBio_Illumina_hybridASM/S0194-03/FlyeAssembly_I3_PilonPolishing/pilon_IllPE_Polishing_I3_Asm_ChangeSNPsINDELsOnly/S0194-03.Flye.I3Asm.PilonPolished.fasta,/n/data1/hms/dbmi/farhat/fastq_db/TRUST_PacBio/TRUST_PacBio_Set6/m64142_250205_154304.bc2006--bc2006.hifi_reads.fastq.gz,MFS-756,T0194,S0194-03,1,4424393.0,38,2.2.1,2.2.1,2,MFS-756,MFS-756,0.0121644510598983,2.2.1,2
